name,database_id,degree_weighted,degree_total,betweenness_unweighted,betweenness_weighted,clustering_unweighted,clustering_weighted,connected_component,role
Paris Avgeriou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2094,42,61,0.0113460141600949,0.0136852286901153,0.0859465737514518,0.0059216335640554,0,broker
Lei Ma 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1342,64,85,0.0111201248257513,0.0082387824545234,0.0972222222222222,0.0060714075114105,0,broker
Li Li 0029,4:a207e2fc-2358-4733-aaec-376a2c17a19b:290,56,95,0.0110366428241969,0.0179333497808509,0.1266233766233766,0.0101433404688018,0,broker
Alberto Bacchelli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:546,52,68,0.0106124023479979,0.0091354132557702,0.0806938159879336,0.0045667771900101,0,broker
Mark Harman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:301,61,107,0.0102037398812511,0.0123639362190932,0.1289617486338797,0.0098216246337141,0,broker
Mehdi Mirakhorli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2275,46,70,0.0099992766720384,0.0139862564155965,0.1178743961352657,0.0080815936508718,0,broker
Chunyang Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:955,62,117,0.0099832851534881,0.0253656905973356,0.1084082496033844,0.0097129771937764,0,broker
Junjie Chen 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:140,87,137,0.0098967248420201,0.0139217851273988,0.1053194333066025,0.0075751593035538,0,broker
Anita Sarma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2749,65,117,0.0098680785003746,0.0148709950232406,0.1125,0.0091786392052201,0,broker
Patricia Lago,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1685,72,131,0.0097983535230355,0.0318505963809955,0.0582942097026604,0.004871979214206,0,broker
Alessio Bucaioni,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5349,29,46,0.0096604451115716,0.017628788955689,0.1305418719211822,0.0095641392502777,0,broker
Andrew Begel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:129,34,42,0.0095087344861063,0.005464490255105,0.1336898395721925,0.007981302379121,0,broker
Andrea Janes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1029,35,57,0.0091943214553463,0.0083046389707072,0.1411764705882353,0.0103527145160888,0,broker
Tingting Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:939,33,34,0.0091197013003149,0.0058848629051841,0.2575757575757575,0.0119180820447247,0,broker
Michael Felderer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4686,49,49,0.0089974409569014,0.0069057324104602,0.2066326530612245,0.0092060532242321,0,broker
Zhi Jin 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3432,49,59,0.0089797796422273,0.0088160546270542,0.2559523809523809,0.0130715016439853,0,broker
Gordon Fraser 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:20,61,106,0.0088474034664482,0.0105595221306341,0.0633879781420765,0.0045059965537824,0,broker
Yingfei Xiong 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:356,50,69,0.0087827743793284,0.0069323783925014,0.116734693877551,0.0081109000865413,0,broker
Leonardo Mariani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1208,29,41,0.0087502614299357,0.0030963673552347,0.1034482758620689,0.006877638008688,0,broker
Lu Xiao 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:550,32,64,0.0086673996377692,0.0700415455804736,0.219758064516129,0.019429941769912,0,broker
Zhendong Su 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:860,66,81,0.0086014274971364,0.0098375508361481,0.0904428904428904,0.0054991080691452,0,broker
Bogdan Vasilescu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:437,63,93,0.0085342796208393,0.0236507072246771,0.0778289810547875,0.0049515709917189,0,broker
Yves Le Traon,4:a207e2fc-2358-4733-aaec-376a2c17a19b:613,51,109,0.0084586878488093,0.0209948295885042,0.1380392156862745,0.0138383582530715,0,broker
Ilias Gerostathopoulos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:111,61,99,0.0081865474415603,0.0167233351530942,0.1234972677595628,0.0077843056972936,0,broker
Ivano Malavolta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1050,53,89,0.0081770729309353,0.0188884649503065,0.0798258345428156,0.0066795299540373,0,broker
Tim Menzies,4:a207e2fc-2358-4733-aaec-376a2c17a19b:192,23,34,0.0080858789252855,0.0061875055504132,0.1383399209486166,0.0089324994622519,0,broker
Jan Bosch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:463,35,54,0.0080040386453851,0.0079397840558844,0.1109243697478991,0.0071574757314876,0,broker
Tao Xie 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1270,90,125,0.0079898983907119,0.0102068385154461,0.0883895131086142,0.0053387792001081,0,broker
Sven Apel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1230,42,68,0.0079688446712732,0.0080630615355398,0.0859465737514518,0.0065428905210496,0,broker
Bram Adams,4:a207e2fc-2358-4733-aaec-376a2c17a19b:669,42,49,0.0079084029839066,0.0035899418520131,0.0754936120789779,0.0038615351358448,0,broker
Elisa Yumi Nakagawa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2092,59,88,0.0078875789049582,0.0255622849675255,0.249561659848042,0.0143747286127214,0,broker
Thorsten Berger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:217,36,52,0.0076488755549784,0.0074780222705605,0.0984126984126984,0.0063927227430252,0,broker
Claire Le Goues,4:a207e2fc-2358-4733-aaec-376a2c17a19b:438,43,72,0.0075522997058109,0.0063519204253735,0.0952380952380952,0.0069791324569851,0,broker
Ting Liu 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:88,45,82,0.007435757468779,0.0036523381294,0.1838383838383838,0.0150843525435277,0,broker
Harald C. Gall,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1446,39,54,0.0074319245843388,0.0046052421776422,0.145748987854251,0.0090683395605574,0,broker
Jane Cleland-Huang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1873,51,78,0.0074274960788885,0.0070044913138075,0.0886274509803921,0.0063842168912025,0,broker
Tommi Mikkonen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:831,39,43,0.0074026298873622,0.0066518201825346,0.0742240215924426,0.0036795274185563,0,broker
Francesca Arcelli Fontana,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2202,36,57,0.007353620884223,0.012871024514102,0.1047619047619047,0.0076876924219278,0,broker
Jun Sun 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:16,66,99,0.0072458673917426,0.009859900618543,0.0848484848484848,0.005876722419042,0,broker
Burak Turhan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4297,36,39,0.007231421495244,0.0051692656607515,0.1587301587301587,0.0078822354663086,0,broker
Fabio Palomba,4:a207e2fc-2358-4733-aaec-376a2c17a19b:39,48,101,0.0071735290958762,0.0421825894437598,0.12677304964539,0.0129168755599685,0,broker
Yuriy Brun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1439,43,59,0.0070408611700106,0.0073097017925138,0.1262458471760797,0.0073998113572325,0,broker
Lingming Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:863,65,97,0.0070027725317746,0.0046291634494515,0.09375,0.0065258145097616,0,broker
Zibin Zheng,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1047,73,99,0.0069883255302127,0.0045331587179246,0.0882800608828006,0.0054172174650919,0,broker
Massimiliano Di Penta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:647,55,115,0.0068967050258665,0.0100514948014375,0.1191919191919192,0.013720066942857,0,broker
Annibale Panichella,4:a207e2fc-2358-4733-aaec-376a2c17a19b:40,43,69,0.0068893711807615,0.0165820638627574,0.0830564784053156,0.0061527328579434,0,broker
Marsha Chechik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2244,43,52,0.0068447511886627,0.004710344004937,0.1472868217054263,0.0075975168325789,0,broker
Xiangyu Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:118,70,108,0.0068041468863446,0.0119185945416376,0.1006211180124223,0.0067370088943497,0,broker
Shing-Chi Cheung,4:a207e2fc-2358-4733-aaec-376a2c17a19b:57,56,90,0.0067620779492643,0.009906969077303,0.1246753246753246,0.0095918741572844,0,broker
Damian A. Tamburri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:910,45,92,0.006744937773316,0.0524116404799067,0.107070707070707,0.0105598387632428,0,broker
Rogardt Heldal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3253,43,56,0.0066979752324562,0.0122188042829031,0.2945736434108527,0.0148442631889739,0,broker
Uwe Zdun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4898,48,82,0.006639993656203,0.0059172288648283,0.076241134751773,0.005590700994115,0,broker
André van der Hoek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:954,36,43,0.0064373265198052,0.0065455912613002,0.1412698412698412,0.0068716459221235,0,broker
Igor Fabio Steinmacher,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2926,68,141,0.0064188192710647,0.0129899431251371,0.0943810359964881,0.0093974332398458,0,broker
Chris Parnin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:52,34,51,0.006410101173996,0.0090165549942051,0.0909090909090909,0.00598418363079,0,broker
Christian Bird,4:a207e2fc-2358-4733-aaec-376a2c17a19b:14,45,56,0.006360987485644,0.0066353605481806,0.1222222222222222,0.0069068057930645,0,broker
Romina Spalazzese,4:a207e2fc-2358-4733-aaec-376a2c17a19b:732,38,59,0.0063547558952631,0.0087531030951435,0.1650071123755334,0.0103742931873149,0,broker
Alexander Egyed,4:a207e2fc-2358-4733-aaec-376a2c17a19b:389,41,79,0.0062869280801581,0.0070760163795583,0.1378048780487805,0.0120551517056872,0,broker
Heiko Koziolek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1157,45,65,0.0062596684122011,0.0033791699835665,0.1404040404040404,0.0081765867074612,0,broker
Liming Zhu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:713,52,128,0.006242951400954,0.0104544002709785,0.1447963800904977,0.0172323047999769,0,broker
Muhammad Ali Babar 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1521,44,52,0.0060597594113102,0.0049882367924941,0.0602536997885835,0.0032682546722849,0,broker
Ahmed E. Hassan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:577,49,87,0.0060350894993569,0.0193990154195827,0.1130952380952381,0.0093587993263586,0,broker
Matthias Galster,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2019,32,46,0.006023635405826,0.010361050069734,0.1048387096774193,0.0065133111759044,0,broker
André van Hoorn,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2537,38,61,0.0059971417557016,0.0048116336906678,0.1280227596017069,0.008969436753274,0,broker
Stefan Kugele,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9288,29,36,0.0059827473826514,0.005092423442765,0.1206896551724138,0.0072454807248353,0,broker
David Garlan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:734,46,107,0.0058776604109253,0.0114501086816814,0.1256038647342995,0.0120663861524513,0,broker
Margaret-Anne D. Storey,4:a207e2fc-2358-4733-aaec-376a2c17a19b:545,31,40,0.0058576618073441,0.0044493308256861,0.1182795698924731,0.0075251906635893,0,broker
Timo Kehrer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3723,37,42,0.0058127228172025,0.0018654883735344,0.3768768768768769,0.0190588762257382,0,broker
Klaas-Jan Stol,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1643,25,36,0.0057893058617944,0.0059887953624174,0.1833333333333333,0.0124748667826772,0,broker
Arie van Deursen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1464,55,69,0.00577048094927,0.008030902669741,0.0868686868686868,0.0047962904029506,0,broker
Xin Peng 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:727,58,77,0.0057595588502466,0.0095848447904938,0.1203871748336358,0.0073075666185031,0,broker
Daniel M. Germán,4:a207e2fc-2358-4733-aaec-376a2c17a19b:131,29,37,0.0057577073043866,0.0029365127931378,0.1699507389162561,0.0118999825239482,0,broker
Dan Hao 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1853,48,76,0.0056659385632596,0.0099215440696244,0.1604609929078014,0.0119982863492091,0,broker
Bashar Nuseibeh,4:a207e2fc-2358-4733-aaec-376a2c17a19b:393,66,131,0.0055694302703658,0.0126937978763502,0.1799533799533799,0.0132691304036747,0,broker
Michael D. Ernst,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2492,27,30,0.0054421084559239,0.0042287989531703,0.131054131054131,0.0063324814212257,0,broker
Yi Li 0008,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2524,22,32,0.0054186378945263,0.0111754437797372,0.2467532467532467,0.0173166915121156,0,broker
Laurie A. Williams,4:a207e2fc-2358-4733-aaec-376a2c17a19b:53,50,75,0.0053445270665316,0.0049086128677865,0.0775510204081632,0.0050181331141429,0,broker
Jin Song Dong 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:253,32,40,0.0053186312026236,0.0045857055043672,0.1955645161290322,0.011752834057341,0,broker
Sumit Gulwani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2769,37,40,0.0052507532522855,0.0052630670148709,0.1681681681681681,0.0078879280662698,0,broker
Julia Rubin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1338,23,27,0.0051674723976304,0.0077249888292186,0.0948616600790513,0.0052182297226049,0,broker
Marcel Böhme,4:a207e2fc-2358-4733-aaec-376a2c17a19b:737,36,43,0.0051434797085776,0.0032287804195706,0.1015873015873015,0.0056261001919317,0,broker
Neil A. Ernst,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1750,26,28,0.005141821402448,0.0026961070302321,0.1169230769230769,0.0057254739280741,0,broker
Franco Raimondi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1099,17,17,0.0050322786660458,0.0048596314315415,0.2352941176470588,0.0114440466567245,0,broker
N. C. Shrikanth,4:a207e2fc-2358-4733-aaec-376a2c17a19b:926,10,14,0.0049901459600081,0.004990103528299,0.5555555555555556,0.0294455876551569,0,broker
Andreas Zeller,4:a207e2fc-2358-4733-aaec-376a2c17a19b:490,39,59,0.0049444242922112,0.0049631455886131,0.0917678812415654,0.0059840038482553,0,broker
Yu Jiang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:879,69,122,0.0049085384656985,0.005305101721289,0.108695652173913,0.0082883305731767,0,broker
Lu Zhang 0023,4:a207e2fc-2358-4733-aaec-376a2c17a19b:357,45,68,0.0049006610456042,0.0059974598851194,0.1525252525252525,0.0110012593155294,0,broker
Satish Chandra 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1885,44,52,0.0048598242114286,0.0043891472489617,0.1818181818181818,0.0088418369593492,0,broker
Riccardo Scandariato,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4325,22,29,0.0048542932382551,0.0036469660445117,0.1255411255411255,0.008207804579344,0,broker
Shin Yoo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2605,24,34,0.0048250133732462,0.0072101448081065,0.1268115942028985,0.0074470107724244,0,broker
Sam Malek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1582,32,62,0.0048221968838331,0.007809746292633,0.1774193548387097,0.0147465640285237,0,broker
He Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:917,45,70,0.0048113233468275,0.0044330780045635,0.1262626262626262,0.0086749270149248,0,broker
Sasa Misailovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1333,29,31,0.0047885005104663,0.0043661506720235,0.3916256157635468,0.0179082802241826,0,broker
Javier Cámara 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:172,40,63,0.0047765629605433,0.0018433963151369,0.1794871794871795,0.0125940189712198,0,broker
Pooyan Jamshidi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2040,39,49,0.0047273032222013,0.0032538090562081,0.2712550607287449,0.0136563776547869,0,broker
Andrzej Wasowski,4:a207e2fc-2358-4733-aaec-376a2c17a19b:350,28,31,0.00465830152934,0.0016090187040813,0.1534391534391534,0.0073815407627456,0,broker
Justus Bogner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1989,35,61,0.0046212524502809,0.0113470474847633,0.1058823529411764,0.0085053612335843,0,broker
Shin Hwei Tan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2572,42,51,0.0045823446188749,0.0032250782093217,0.1161440185830429,0.0064590847065795,0,broker
Na Meng 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2514,35,39,0.0045169142844657,0.0030325577899903,0.107563025210084,0.0054871794830125,0,broker
Michael Pradel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:50,48,56,0.0044833991991004,0.002508149731986,0.0673758865248227,0.0033209238779409,0,broker
Xiaoxing Ma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:58,28,61,0.0044726399507579,0.0050219910489265,0.2698412698412698,0.0250505910014426,0,broker
Sebastian Baltes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3184,16,18,0.004416908857026,0.0044399853436209,0.1416666666666666,0.0067244660504961,0,broker
Xiaofei Xie,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1661,64,97,0.0044004285000231,0.0152541998048926,0.1269841269841269,0.0090959721167318,0,broker
Stephan Krusche,4:a207e2fc-2358-4733-aaec-376a2c17a19b:201,45,53,0.0043733765851382,0.005573709082607,0.2404040404040404,0.0115322746075561,0,broker
Fuyuki Ishikawa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7272,31,34,0.0043538619314235,0.0017850015994789,0.5333333333333333,0.0250398787710907,0,broker
Myra B. Cohen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:231,29,29,0.0043253592417535,0.0021977998344109,0.125615763546798,0.0057189751931515,0,broker
Jennifer Horkoff,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2664,24,24,0.0043021009392434,0.0009553146442786,0.3768115942028985,0.0165768459430476,0,broker
Ludovico Iovino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7734,28,42,0.0042715598428272,0.0026206495600687,0.1719576719576719,0.012856687206457,0,broker
Davide Di Ruscio,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2201,25,31,0.0042706473107903,0.002423973313489,0.18,0.0098430675244061,0,broker
Yue Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2103,44,51,0.0042077294211976,0.0025450166037251,0.1585623678646934,0.0088548766665369,0,broker
Baowen Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1344,54,90,0.0041909096528122,0.0141233036924838,0.1313766596785464,0.010137022238181,0,broker
Guenther Ruhe,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3892,29,36,0.0041717460082037,0.0028188001340429,0.1527093596059113,0.008601997935752,0,broker
Nachiappan Nagappan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1817,31,34,0.0041654159516932,0.0023872466910908,0.1655913978494623,0.0086602584681591,0,broker
Zhenchang Xing,4:a207e2fc-2358-4733-aaec-376a2c17a19b:710,54,130,0.0041221149146858,0.0317073966325204,0.1264849755415793,0.0149557323919069,0,broker
Shuvendu K. Lahiri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3006,38,51,0.0041139313808914,0.0047567725245155,0.1024182076813655,0.0061847414776554,0,broker
Andy Zaidman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:41,35,49,0.0041103868930063,0.0046016374549007,0.1478991596638655,0.0100245964914848,0,broker
Cesare Pautasso,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1863,20,25,0.0040618942491902,0.002442256294924,0.1789473684210526,0.0101091211272286,0,broker
Simos Gerasimou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1293,25,36,0.0040604593293454,0.0040543794861589,0.1533333333333333,0.0096899004201533,0,broker
Anne Koziolek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:70,64,133,0.004056149429345,0.0072399977602053,0.1279761904761904,0.0132740863765638,0,broker
Axel Legay,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2326,25,35,0.0040502614673198,0.0038595071132083,0.1766666666666666,0.0114510809085599,0,broker
Yepang Liu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3488,50,70,0.0040386790042597,0.0043568185522631,0.1322448979591836,0.0089210643342182,0,broker
Miryung Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2125,32,47,0.0040333198826075,0.0063723467658504,0.1189516129032258,0.0075517766910945,0,broker
Eric Bodden,4:a207e2fc-2358-4733-aaec-376a2c17a19b:291,37,47,0.0039947555745878,0.0032058060919421,0.1411411411411411,0.0087704010509927,0,broker
Robert Feldt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2590,19,28,0.0039637870007847,0.00303432391294,0.1111111111111111,0.0071697327720184,0,broker
Weiyi Shang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1619,31,46,0.0039527263127198,0.0020078388802618,0.1612903225806451,0.0114642213593598,0,broker
Yiling Lou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2887,46,53,0.0038940133869801,0.0020370104405115,0.1536231884057971,0.0083817263361897,0,broker
Lin Tan 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:119,40,56,0.0038550276129864,0.0049463923970193,0.132051282051282,0.0081212149901738,0,broker
Henry Muccini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1756,33,78,0.0038477767561226,0.005463676860041,0.1136363636363636,0.0108651116638476,0,broker
Antonia Bertolino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1217,24,44,0.003829499795068,0.0032919614461193,0.1630434782608695,0.0130996961226886,0,broker
Michael R. Lyu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1015,73,138,0.0038220462539244,0.0057622249893971,0.1324200913242009,0.0112226387822435,0,broker
Dongmei Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:809,72,136,0.0037971790148801,0.0046048929500593,0.1690140845070422,0.0152305486151656,0,broker
Rodrigo Pereira dos Santos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:127,33,44,0.0037946997045719,0.0023468305397067,0.1420454545454545,0.0090575512558187,0,broker
Stefen Becker,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4421,40,61,0.0037898594533124,0.0041801869209787,0.1653846153846153,0.009907759410214,0,broker
Luciano Baresi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2853,24,28,0.0037859268426103,0.0030562448213573,0.1050724637681159,0.0053322032127887,0,broker
Eduardo Santana de Almeida,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1528,34,48,0.003776568250916,0.0031920966203079,0.3636363636363636,0.0169288361840317,0,broker
Hridesh Rajan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:584,36,68,0.0037718481176458,0.0048317255842236,0.1142857142857142,0.0087492068189107,0,broker
Neha Rungta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7523,45,46,0.0037672783088307,0.0035329494261454,0.6888888888888889,0.0303968783902459,0,core
Emerson R. Murphy-Hill,4:a207e2fc-2358-4733-aaec-376a2c17a19b:309,47,70,0.0037573204458837,0.0049224754943305,0.1156336725254394,0.007782316052797,0,broker
Xiwei Xu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:712,47,119,0.0037570687264605,0.0063506960594143,0.1628122109158186,0.0195956763129753,0,broker
Wei Le,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1318,30,38,0.0037418707866163,0.0029345305579264,0.1494252873563218,0.008433132769032,0,broker
Antony Tang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3424,18,21,0.0037353863065024,0.0015397207538025,0.1633986928104575,0.0095879468845157,0,broker
Paul Ralph,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2178,24,30,0.0037303959711116,0.002541992193909,0.0652173913043478,0.0035644431713213,0,broker
Corina S. Pasareanu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5491,22,31,0.0036707307114998,0.0024285563055452,0.1731601731601731,0.0118468571056052,0,broker
Robert Heinrich,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4416,62,128,0.0036688332660763,0.0095736910163581,0.1475409836065573,0.0146890870196882,0,broker
Earl T. Barr,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3676,24,29,0.0036642975553925,0.0036276423693776,0.181159420289855,0.0096143968275287,0,broker
